Title,Publication Date,Author,Body,Tags,Featured Image
Talk About Local 09,"Sun, 04 Oct 2009 13:29:43 +0000",dandavies23,"Yesterday I evaded all my impulses to stay in bed and instead got on an early train to Stoke to attend the the <a href=""http://talkaboutlocal.org/"">Talk About Local 09</a> non-conference event.

A Staffordshire oatcake soon forced out the hangover out of the way and we got down to business. Caroline Beavon has already published her expansive <a href=""http://carolinebeavon.wordpress.com/2009/10/04/talk-about-local-09-tal09-session-notes/"">notes from the day</a> so I'm going to instead write about what I took from the non-conference.

[caption id=""attachment_13"" align=""aligncenter"" width=""300"" caption=""Sessions organised via Post It Notes""]<img class=""size-medium wp-image-13"" title=""TAL09"" src=""http://dand23.files.wordpress.com/2009/10/tal09.jpg?w=300"" alt=""Sessions organised via Post-It Notes"" width=""300"" height=""200"" />[/caption]

<strong>Session 1: Making Public Data Public</strong>
It started with a heavy chat about how Making Public Data Public with Director for Digital Engagement – Andrew Stott. Seems to be an ongoing battle with data from different councils having to be cajoled into disseminating data and the data to be available in a useable form. Stott asked everyone to sign up for the developer preview in order to work with the site and suggest where they can go from here.

After a Q&amp;A which mostly involved questions about transparency and legal implications we had a short talk from Chris (@countculture) at <a href=""http://www.openlylocal.com/"">Openly Local.</a> He mentioned how Birmingham's <a href=""http://www.birmingham.gov.uk"">council website</a> is a example of poor thought and data use and how he helped <a href=""http://www.bccdiy.com"">BCC DIY</a> scrape their site.

I've been thinking recently with the election coming up that putting councils online and making the data available to the public is a strong way to make the audience re-engage with politics in an entertaining way. I want to see what's available from Openly Local to move into more journalistic territory.

<strong>Session 2: More Power To Your Blog</strong>
This session was headed up by <a href=""http://pitsnpots.co.uk/"">Pits'n'Pots.</a> A general discussion how it is difficult to be taken seriously by local councils at best and at worst not trusted or completely ignored. A consensus was reached that this seemed to be mostly press officers rather than councillors faults. A press officer from Keele University said ""we're not all bad."" Certainly the attitude differs from site to site and council to council. <a href=""http://thelichfieldblog.co.uk/"">The Lichfield Blog </a>were cited as a success story, not only by cultivating a good relationship with press officers (particularly since the demise of the local paper) but also by breaking local stories nationally - for example the recent discovery of a treasure hoard.

<strong>Session 3: Moderating Comment </strong>
Caroline and I split up after lunch and I attended this session across the road in the Activity Space. Not being in a lecture theatre the session took on a more group discussion dynamic.

Heard from Wolverhampton based blog <a href=""http://www.wv11.co.uk/"">WV11.</a> A likeable couple who wanted to big-up that area but met with endless anonymous negativity. Community website <a href=""http://www.castlebromwich.net/"">Castle Bromwich.net</a> suggested backing up online engagement with physical engagement in a public meeting.

There was an interesting talk about engaging with the youth via <a href=""http://www.typecastawards.co.uk"">Typecast</a> a site which worked with the Police but allowed kids to bust some of their own stereotypes. A good point was also raised that the rating system employed here could be carried to community blog articles, rating system can help diffuse the negativity.

Ed Walker from <a href=""http://www.bloglocal.org.uk"">Blog Local</a> talked about legalities, comments can sometimes be libellous in themselves. Talk about whether Anonymous comments are better or worse. Talk about commentators not being able to hide behind anonymity. But also mentioned that unamed sources can be useful. Also talk about whether bloggers need to follow a code of conduct similar to NUJ. Conclusion reached seemed to be that self regulation is best, you should be able to protect yourself but also know where to get support and advice.

<strong>You can right click 'save target' for the MP3 of Session 3<a href=""http://dandavies23.wordpress.com/files/2009/10/tal-09-moderating-comment.mp3""> here</a> or you can listen to it below.</strong>

[audio:http://dandavies23.wordpress.com/files/2009/10/tal-09-moderating-comment.mp3]

<strong>Session 4: Collaborative Journalism</strong>
Back to the lecture theatre for the final session of the day. Tight time restrictions were imposed on the people left to speak. A few prominent sites were discussed in detail with a sped up presentation by The Guardian's Sarah Hartley about the Future Of Journalism in the middle.

For me the more interesting parts were around this central presentation. Sites that I need to look into more are <a href=""http://www.theyworkforyou.com"">They Work For You</a> and <a href=""http://www.whatdotheyknow.com"">What Do They Know.</a> Ways were discussed how local blogs can use these tools and RSS feeds to investigate.

@Podnosh introduced <a href=""http://helpmeinvestigate.com"">Help Me Investigate</a>. And @Citizensheep also spoke about another Brummie success <a href=""www.bccdiy.com"">BCC DIY</a>. Which made me think about repeating my <a href=""http://dandavies23.wordpress.com/2009/10/01/bcc-diy-audio-interview/"">interview with Stef Lewandowski </a>on this site... or maybe I'll just link it.

I have raw audio from Sessions 1-3 which can be put up without too much trouble. Let me know if you'd like to hear.

<strong>Post event networking</strong>

Made good links with James Clarke from WV11, ended up talking about my Festivals idea. More of that to come on the blog.

Also met with Ed Walker from <a href=""http://www.blogpreston.co.uk"">Blog Preston</a> and Blog Local about his plans to roll out a local blog package and tool kit. More of that soon too!

<em>If I missed anything out or got the wrong end of the stick, please let me know in the comments section below.</em>","Andrew Stott, Birmingham, Birmingham's  council, Blog, Caroline Beavon, Castle Bromwich.net, Director for Digital Engagement, Internet, MA Online Journalism, online engagement, Sarah Hartley, Social information processing, TAL09, The Guardian",
Social Media And Its Impact On Mainstream Journalism,"Sun, 04 Oct 2009 20:19:24 +0000",dandavies23,"<img class=""aligncenter size-medium wp-image-30"" title=""BBC Broadcasting House"" src=""http://dand23.files.wordpress.com/2009/10/bbc-broadcasting-house.jpg?w=200"" alt=""BBC Broadcasting House"" width=""200"" height=""300"" />

I recently headed off to the BBC to hear <a href=""http://uk.linkedin.com/in/nicnewman"">Nic Newman</a> present his paper 'The rise of social media and its impact on mainstream journalism'. They recorded the session so you might want to keep an eye on <a href=""http://blogs.reuters.com/great-debate-uk/tag/nic-newman/"">Reuters site</a> for a better recording.

<img class=""aligncenter size-medium wp-image-31"" title=""Social Media BBC Discussion Panel"" src=""http://dand23.files.wordpress.com/2009/10/socialmediabbc.jpg?w=300"" alt=""Social Media BBC Discussion Panel"" width=""300"" height=""200"" />

You can right click 'save target' for the MP3<a href=""http://dandavies23.files.wordpress.com/2009/10/rise-of-social-media-impact-mainstream-journo-bbc-discussion.mp3""> here</a> or listen below.

[audio:http://dandavies23.files.wordpress.com/2009/10/rise-of-social-media-impact-mainstream-journo-bbc-discussion.mp3]

The discussion took place in the chamber facing a picture of Lord Reith which the chair points out at the beginning. Some notes and live twittering to accompany this talk can be found at <a href=""http://carolinebeavon.wordpress.com/2009/10/01/the-rise-of-social-media-and-its-impact-on-mainstream-journalism/"">Caroline Beavon's site.</a> This is the post from <a href=""http://chiarabolognini.wordpress.com/2009/10/08/what-is-the-value-in-engaging-in-social-media/"">Chiara  Bolognini.</a>","BBC, British Broadcasting Corporation, Caroline Beavon, Journalism, MA Online Journalism, MP3, Social Media, Social Media, Thomson Reuters Group Ltd",
BCC DIY Audio Interview,"Mon, 05 Oct 2009 08:39:40 +0000",dandavies23,"<a href=""http://dandavies23.files.wordpress.com/2009/10/hack-day.jpg""><img class=""alignnone size-medium wp-image-587"" title=""hack day"" src=""http://dandavies23.files.wordpress.com/2009/10/hack-day.jpg?w=300"" alt=""hack day"" width=""300"" height=""200"" /></a>

This has moved from my <a href=""http://dandavies23.wordpress.com"">journalist archive</a> as this is the best home for it and it's interfering with my Silver Skins Podcast feed.

Here is the full interview with <a href=""http://steflewandowski.com""> Stefan Lewandowski </a> following a very long hack day for <a href=""http://www.bccdiy.com/""> BCC DIY.</a>

[audio: http://dandavies23.files.wordpress.com/2009/10/stef-interview-long-clip.mp3]

Other BCU MA Online Journalism coverage:<a href=""http://www.alexgamela.com/blog/2009/09/30/the-crowd-takes-over-a-multidao-assume-a-responsabilidade/""> Alex Gamela</a>","Alex Gamela, BCC DIY, Digital audio, Entertainment/Culture, MA Online Journalism, Online Journalism coverage, Stefan Lewandowski",
#Brum Meet One,"Wed, 14 Oct 2009 02:25:54 +0000",dandavies23,"[caption id=""attachment_46"" align=""aligncenter"" width=""300"" caption=""Suggested Logo by Alex Gamela""]<img src=""http://dand23.wordpress.com/files/2009/10/temp-logo-proposal.png?w=300"" alt=""Temporary Logo by Alex Gamela"" title=""temp-logo-proposal"" width=""300"" height=""100"" class=""size-medium wp-image-46"" />[/caption]

This is our first real meeting for<a href=""http://www.hashbrum.co.uk/"">#Brum</a> a new hyperlocal news site for central Birmingham. We're still very much in development at the moment and we'd really like involvement, help and suggestions from non-MA Online Journalism students.

It would be great if you could comment on the conversation we had, or you can also track and make suggestions at our <a href=""http://www.hashbrum.co.uk/wiki"">#Brum Wiki</a>

You can right click 'save target' for the MP3<a href=""http://dandavies23.wordpress.com/files/2009/10/hashbrummeetoneeq.mp3""> here</a> or you can listen to it below.

[audio:http://dandavies23.wordpress.com/files/2009/10/hashbrummeetoneeq.mp3]

BTW We got off to a poor start by not recording the first five minutes!","#Brum, Alex Gamela, Birmingham, Entertainment/Culture, hyperlocal news site, Local news, MA Online Journalism, Online Journalism students, Social Media, Technology/Internet",
"A Widget, A Widget, A Lovely Widget, A Widget I Have Got","Wed, 14 Oct 2009 14:50:00 +0000",dandavies23,I've spend today installing plugins for my site. I'm posting to see which ones are working.,MA Online Journalism,
6Music - On One,"Sun, 18 Oct 2009 11:29:26 +0000",dandavies23,"<a href=""http://www.dandavies23.com/wp-content/uploads/2009/10/Adam-And-Joe-Radio-72dpi.jpg""><img src=""http://www.dandavies23.com/wp-content/uploads/2009/10/Adam-And-Joe-Radio-72dpi-300x200.jpg"" alt=""Adam And Joe Radio"" title=""Adam And Joe Radio"" width=""300"" height=""200"" class=""alignnone size-medium wp-image-73"" /></a>

I was at <a href=""http://24carrots.org.uk/"">24Carrots</a> on Saturday and bumped into two producers asking for our opinions on <a href=""http://www.bbc.co.uk/6music"">BBC 6Music.</a> I was more than happy to be filmed as 6Music is my favourite radio station. 

I've been listening ever since I got a digital radio for Christmas 6 years ago and pretty much like every show they do (except George Lamb - and I'm not even going to hyperlink that!) but a final thing occurred to me later on that I'd like to share. 

I have this theory that Britpop wouldn't have happened if Radio 1 hadn't brought in the changes they made under Matthew Bannister. The most important element wasn't the notorious clearing of DJ dead wood (which is incidentally why I dislike Lamb, I remember Simon Bates) but the re-invigoration of the playlist. Suddenly eloquent intelligent pop was being listened to by a mainstream audience. Of course it still had to strike a national chord but it was listened to. 

I met <a href=""http://www.bbc.co.uk/6music/shows/marc_riley/"">Mark Riley (AKA The 'Hapless' Boy Lard)</a> at Depercussion Festival in Manchester a few years back and told him how much I liked his 6music show. He was appreciative of my praise but added ""Yeah. but it should be on Radio 1 shouldn't it...""

Many people of my generation have a soft spot for Mark (Radcliffe) and Lard but it wasn't just their sense of humour or deep respect for music but also the breadth of art and literature covered in the show. In fact many people I know have favourite comedians, poets and writers that can be traced back to Mark And Lard. Bannisters changes elevated art to be discussed on air even giving some airtime to comedy shows in their own right for the likes of Collins And Maconie, Lee And Herring - paving the way for the superb Blue Jam by <a href=""http://www.cookdandbombd.co.uk/"">Chris Morris.</a>

I know radio's changed and we're now all filtering our way through our own personalised schedules these days but there's something to be said for a broad range of interesting art to be available on the mainstream. Bringing arts and comedy shows onto 6music might be moving away from the 'music' part of their edict. So where else do we go for our cultural spark? Is it Radio 4 or should it be Radio 1?","BBC 6 Music, British Broadcasting Corporation, Chris Morris, MA Online Journalism, Mark and Lard",
#MobileMedia11: Who is keeping pace in the lightning fast world of mobile media?,"Wed, 11 May 2011 11:27:13 +0000",dandavies23,"<p><em>This is part of a series of articles and interviews on TheMediaBriefing this week ahead of our conference <a href=""http://mobilemedia.themediabriefing.com/"">Mobile Media Strategies 2011</a> on June 14.</em></p>
<p>It may only be three months since we published <a href=""http://www.themediabriefing.com/mobile-strategies"">Mobile Media Strategies for Media Owners</a> but already there have been significant shifts in the digital publishing industry. As the author of the intelligence report Dominic Jacquesson mentions in this video, many of its predictions have come to pass.</p>
[youtube]http://www.youtube.com/watch?v=5pwJLs26GeA[/youtube]
<h3>Platform changes</h3>
<p>Things are changing fast. Now Research in Motions&rsquo;s Playbook tablet will run Android apps, Nokia is <a href=""http://www.economist.com/node/18114689"">no longer</a> producing new phones using its Symbian platform and is working with Microsoft. Apple still dominates with Android in second place but maybe Microsoft can surprise everyone.</p>
<h3>Publisher re-imaginings</h3>
<p>Many national newspapers are really shining on the app front. Jacquesson singles out the <a href=""http://www.themediabriefing.com/companies/financial-times"">FT</a> and New York Times as moving away from the traditional print news-cycle and the trappings of established workflow. Regional newspapers are also &ndash; slowly &ndash; grasping how they can improve their classified adverts and mine the rich geo-location vein that <a href=""http://www.themediabriefing.com/article/2011-05-08/are-news-media-sat-on-a-mobile-data-goldmine"">Patrick Smith mentioned</a> in thus article.</p>
<p>According to Jacquesson, magazines haven&rsquo;t changed enough and they&rsquo;re still &ldquo;locked in with the design departments&rdquo;. He continues: &ldquo;They need to get their web teams in there and innovate around proper functionality. Re-imagining what magazines should be like for the future.&rdquo;</p>
<h3>Price switches</h3>
<p>With <a href=""http://www.themediabriefing.com/companies/hearst-corporation"">Hearst</a> and Cond&eacute; Nast picking up the Apple&rsquo;s new subscription model there&rsquo;s been some speculation that this might force app prices down. But interestingly Jacquesson thinks that the new deal might give stabilise prices. However, he warns if publishers develop for Android apps it could affect overall pricing &ndash; consumers who use Google expect most of their apps for free.</p>
<p>Jacquesson&rsquo;s final message is clear. There are plenty of ways to make money but some real thinking needs to be done about <strong>innovating fast<strong>. If you don&rsquo;t act now there will be a new tech company who will take your audience.</strong></strong></p>
<p><em><strong>Originally published on <a href=""http://www.themediabriefing.com"">TheMediaBriefing</a></strong></em></p>","Dominic Jacquesson, Mobile software, New York Times, Patrick Smith, Uncategorized",
Mixmag DJ Pierre,"Fri, 10 Feb 2012 17:48:22 +0000",dandavies23,"We've been thinking recently about installing some facilities for streaming shows at Village Underground.  My first three month catch up meeting at VU (slideshow to follow) led to us discussing the possibilities of starting a small radio station or video streaming studio.

In the mean time we've been trying out different alliances including <a href=""http://boilerroom.tv/"">Boiler Room</a> through to <a href=""http://www.be-at.tv/"">B@TV</a> whose live stream of Layo and Bushwacka's Shake It! event had 22,000 views. Speed of delivery and exclusivity still have a real value and offering something instantly and live (even with prerecorded elements) can have a huge international audience. Until we get the tools to do this well the best we can do is good partnerships with respected titles with established audiences.
 
Mixmag will be hosting several excellent nights at Village Underground over the next few months and this livestream with Acid House pioneer DJ Pierres was a dry run. I have to say it wasn't live by 1:45AM when I went to bed last night but hopefully something will appear here. 

<iframe src=""http://www.ustream.tv/embed/10188568"" style=""border: 0px none transparent;"" frameborder=""0"" height=""368"" scrolling=""no"" width=""608""></iframe>",Social Media,
Replicating Snow Fall without copying: experimenting with ScrollKit,"Thu, 30 May 2013 13:17:00 +0000",dandavies23,"The New York Times' <a title=""Snow Fall"" href=""http://www.nytimes.com/projects/2012/snow-fall/#/?part=tunnel-creek"" target=""_blank"" rel=""noopener noreferrer"">Snow Fall project</a>, an interactive story requiring the reader to 'scroll' through a range of multimedia, had such a profound effect  <a href=""http://gigaom.com/2013/05/10/how-the-new-york-times-can-fight-buzzfeed-reinvent-its-future/"" target=""_blank"" rel=""noopener noreferrer"">executive editor Jill Abramson claimed</a> it became a verb in newsrooms with ""all desks"" trying to create something similar. Last week on <a title=""Medium article"" href=""https://medium.com/meta/503b9c22080b"" target=""_blank"" rel=""noopener noreferrer"">Medium, Cody Brown laid claim</a> to doing just that using Scroll Kit, a startup designed to streamline this process. Brown bragged that although the Snow Fall project took NYT ""months to design"", his only took a ""few hours to recreate"". His Snowfall how-to video and template have since been removed from <a title=""Scroll Kit"" href=""https://www.scrollkit.com/"" target=""_blank"" rel=""noopener noreferrer"">Scroll Kit</a>, but the fact remains that this is a powerful open-source web app.
<h1>How it helps you</h1>
A multimedia project that gives you complete control and allows you to create content in a few hours is of huge advantage to journalists.
<h1>In practice</h1>
I took an <a title=""Britain's High St in decline"" href=""http://ruvr.co.uk/2013_05_09/Britain-traditional-High-Street-in-decline/"" target=""_blank"" rel=""noopener noreferrer"">audio feature my wife produced</a> and combined this with photographs I'd taken. I found the editing tool relatively easy to use once I had figured out how the layers worked. It took me longest to work out the best way to embed audio onto the pages and I eventually used a Flash embed from <a href=""http://audioboo.fm/users/31031/playlists/8033-cold-wash#"" target=""_blank"" rel=""noopener noreferrer"">Audioboo</a>.

This app is designed for the new internet experience, allowing content to be seen in all its widescreen glory on all devices. Due to the high res images and content, the project is created in its own microsite. This can then be transferred onto either your own website, or your title's. It takes up to72 hours to for the DNS transfer and to reflect the new url, it can be viewed in this time but the url will be Scroll Kit. <del>You can watch my finished <a title=""Out To Dry"" href=""https://www.scrollkit.com/s/grc7URT/"" target=""_blank"" rel=""noopener noreferrer"">project here</a> but I'm going to experiment with the Wordpress plugin.</del> I've now put the story on <a title=""Out To Dry"" href=""http://wp.me/pGYyH-eZ"">this site</a> using the <a title=""Wordpress plugin"" href=""http://vip.wordpress.com/plugins/scrollkit-wp/"" target=""_blank"" rel=""noopener noreferrer"">Wordpress plugin</a>. Hmmm it looks like it's stripped out my Audioboos - <a href=""https://www.scrollkit.com/s/grc7URT/"" target=""_blank"" rel=""noopener noreferrer"">here it is with audio</a>.

<h1>Drawbacks</h1>
Now that Cody Brown's Snowfall tutorial has been taken down, there are very few how-to guides available so there is a fair amount of guess work. Although the step backwards function (undo for non-tech minded readers) mostly works, occasionally it freezes. On reflection my early pages were a little conservative, I became more confident at full screen photos as I worked through the project. The Audioboo embed was a bit of a fudge and I would like to see the developers integrate audio into the application itself. Also, it's a standard multimedia lesson but I regretted not shooting any video which limited me to the full range of editing options available. I may still pop back and film a washing machine and loop it as the front cover. Despite Brown's brag, this project took me a couple of days not a couple of hours. And although it's close to the Snow Fall model, there are so many careful and considered touches it can be copied but not really replicated.
<h1>Summary</h1>
A really good multimedia presentation tool, but no Snow Fall.
<h1>Rating</h1>
<!-- This is 4 stars -->
<img class=""alignnone size-full wp-image-2955"" title="""" alt="""" src=""http://www.dandavies23.com/wp-content/uploads/2013/05/NR360target20pxpng.png"" width=""20"" height=""20"" /><img class=""alignnone size-full wp-image-2955"" title="""" alt="""" src=""http://www.dandavies23.com/wp-content/uploads/2013/05/NR360target20pxpng.png"" width=""20"" height=""20"" /><img class=""alignnone size-full wp-image-2955"" title="""" alt="""" src=""http://www.dandavies23.com/wp-content/uploads/2013/05/NR360target20pxpng.png"" width=""20"" height=""20"" /><img class=""alignnone size-full wp-image-2955"" title="""" alt="""" src=""http://www.dandavies23.com/wp-content/uploads/2013/05/NR360target20pxpng.png"" width=""20"" height=""20"" /><img class=""alignnone size-full wp-image-3243"" title=""NR360targetbw20px"" alt="""" src=""http://www.dandavies23.com/wp-content/uploads/2013/05/NR360targetbw20px.png"" width=""20"" height=""20"" />","Cody Brown, High St, Jill Abramson, New York Times, Newsroom 360, Scroll Kit, Tech Review",
Out To Dry,"Thu, 30 May 2013 13:34:10 +0000",dandavies23,"<a href=""http://wp.me/pGYyH-eZ""><img class=""size-medium wp-image-933 aligncenter"" alt=""Out to dry"" src=""http://www.dandavies23.com/wp-content/uploads/2013/05/Screen-shot-2013-05-30-at-2.39.20-PM-300x157.png"" width=""300"" height=""157"" /></a>

The British High Street, the very centre of traditional town and village life across the country is disappearing. Shop keepers blame falling numbers of customers and business owners blame a rise in rents and rates. And according to the <a href=""http://www.cbi.org.uk/media-centre/press-releases/2013/04/sales-on-the-high-street-continue-to-stall/"">Confederation of British Industry</a>, the gloomy situation on England’s high streets isn’t expected to improve. Click on <a title=""Out To Dry"" href=""http://wp.me/pGYyH-eZ"">this link</a> to see the picture story with Audioboo's embedded you'll have to <a href=""https://www.scrollkit.com/s/grc7URT/"" target=""_blank"" rel=""noopener noreferrer"">go here</a>.","Audio, experiments, Multimedia, multimedia, plugins, snowfall",
Silver Skins Special: Home Of Metal,"Wed, 24 Mar 2010 23:00:00 +0000",dandavies23,"
        <p><a href=""https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg""><img data-attachment-id=""665"" data-permalink=""https://dandavies23.wordpress.com/2010/03/25/silver-skins-special-home-of-metal/chris-phipps-pie-stall/"" data-orig-file=""https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg"" data-orig-size=""836,627"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;2.8&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;C902&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;1234021366&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;5.18&quot;,&quot;iso&quot;:&quot;64&quot;,&quot;shutter_speed&quot;:&quot;0.016666666666667&quot;,&quot;title&quot;:&quot;&quot;}"" data-image-title=""Chris Phipps Pie Stall"" data-image-description="""" data-medium-file=""https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg?w=300&#038;h=225"" data-large-file=""https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg?w=490"" src=""https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg?w=300&#038;h=225"" alt="""" title=""Chris Phipps Pie Stall"" width=""300"" height=""225"" class=""alignnone size-medium wp-image-665"" srcset=""https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg?w=300&amp;h=225 300w, https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg?w=600&amp;h=450 600w, https://dandavies23.files.wordpress.com/2010/03/chris-phipps-pie-stall.jpg?w=150&amp;h=113 150w"" sizes=""(max-width: 300px) 100vw, 300px"" /></a></p>

<p>A short tour of sites which influenced Heavy Metal bands in Birmingham during the 1960s. You can walk by starting outside Birmingham Town Hall and walking down Hill Street, all former venues are marked on this map. </p>

<iframe src=""https://www.google.com/maps/d/embed?mid=1JW7brbhxeF8_MA5CylcuPNeHRO8&hl=en"" width=""640"" height=""480""></iframe>

<p>Or you can Recorded as part of a Home Of Metal heritage tour walk for Capsule in March 2009, all speech content copyright <a href=""http://www.onestoppop.com/"">Chris Phipps.</a> 2009.</p>

<!--[if lt IE 9]><![endif]-->

<audio class=""wp-audio-shortcode"" id=""audio-672-1"" preload=""none"" style=""width: 100%;"" controls=""controls""><source type=""audio/mpeg"" src=""https://dandavies23.files.wordpress.com/2010/03/home-of-metal-walk.mp3?_=1"" /><a href=""https://dandavies23.files.wordpress.com/2010/03/home-of-metal-walk.mp3"">https://dandavies23.files.wordpress.com/2010/03/home-of-metal-walk.mp3</a></audio>

<p>Or for added treats why not download the <a href=""https://dandavies23.files.wordpress.com/2010/03/home-of-metal-birmingham-tour.m4a"">enhanced podcast?</a><br />
(right click, &#8216;Save target as)</p>

<p><a href=""https://dandavies23.files.wordpress.com/2010/03/home-of-metal-birmingham-tour.m4a"" rel=""enclosure""></a></p>

<p><img src=""http://feeds.feedburner.com/~r/OneManDansDump/~4/4dh_rsqEal0"" height=""1"" width=""1"" alt=""""/></p>
      ",,
"Coachella and Cali comedown from Michael Franti to Marlena Shaw, Micachi to M.I.A","Wed, 24 Jun 2009 11:00:00 +0000",dandavies23,"Launching into festival season with a Coachella special. Sorry this is a bit late, I have my excuses. Not quite so Brum-centric but I haven’t been here. Just the usual quality songs.
<h3>Tracklisting</h3>
Leave! Little Boots Mix- Little Boots, VV Brown
Golden phone- Micachu
Boyz – M.I.A.
Printer Jam – Mistabishi
It Don’t Move Me – Peter Bjorn and John
Head to head – Miles Hunt &amp; Erica Nockalls
Jestream – Doves
Jump In The Pool – Friendly Fire
Retreat! Retreat! – 65daysofstatic (live)
Alcoholics Unanimous – Art Brut
Failing To See The Attraction – Skint &amp; Demoralised
Obama Song – Michael Franti and Spearhead
DON’T GiVE UP THE FiGHT (SiSTERS) – HKB FiNN &amp; Maya Jobarteh
Stand Up – The Prodigy
Marlena Shaw – California Soul

<img src=""http://feeds.feedburner.com/~r/OneManDansDump/~4/Ysgq16GtUnA"" alt="""" width=""1"" height=""1"" />",Silver Skins,
"A music lovers mix with Empire of The Sun, David Holmes, Keith, Sebastian Tellier and Home of Metal interview","Tue, 03 Mar 2009 21:00:00 +0000",dandavies23,"A special lovers mix but I’m not talking slushy stuff – just new music I’m passionate about and hope you’ll fall in love with too. This is a podcast for people who want to keep listening to new music. But even though we go with the new flow we also know the rocks that we’ve got. Talking of which this edition has a special feature on the West Midlands’ Home Of Metal bid.
<h3>Tracklisting:</h3>
Walking on a Dream – Empire Of The Sun
I Heard Wonders Andy Weatherall Vocal Mix – David Holmes
Coming Clean – The 39 Steps
Cradle (KYTE remix) – The Joy Formidable
Runaway Town – Keith
Dennis Bergkamp – Guildean Gang
Home Of Metal teaser
Johnny Got A Boom Boom – Imelda May
Hurry for the Sky – Robyn Hitchcock &amp; The Venus 3
When I Last Spoke To Carol – Morrissey
Ballad of the Unsent Letter – Aiden Moffatt and The Best Of’s
Absentee – Emmy The Great
Love Song – Dent May And His Magnificent Ukulele
La Ritournelle – Sebastian Tellier",Silver Skins,
"Episode 5: Gigs including Elton John, Hush Arbors and Alice Russell interview","Sat, 20 Dec 2008 16:00:00 +0000",dandavies23,"
        <p>We keep things fairly festive – but don’t worry we haven’t crammed the show with your typical seasonal fodder. Just Silver grade tracks.</p>

<h2>Tracklisting</h2>

<p>Sabali – Amadou and Mariam<br>
Tumbala – Novalima<br>
Sweat Shop – Neon Neon<br>
Disaffected Youth – John Shuttleworth<br>
Nausea – Beck<br>
Happy Man – Seasick Steve<br>
Let Us Be Loving – Alice Russell<br>
Tiny Dancer – Elton John<br>
Getting Up – Q-Tip<br>
Christmas Eve Montage – RJD2<br>
A Collection Of Miserable Thoughts Laced With Wit – Dälek<br>
Stay Where You Are – Ambulance LTD<br>
Sand – Hush Arbors<br>
The Rest – Sixtoes<br>
Iain Woods – Gospel<br>
The Greatest – Cat Power</p>
      ",Silver Skins,
4: From sunshine Shambala to a well wet Bestival,"Tue, 11 Nov 2008 16:00:00 +0000",dandavies23,"Hello and welcome to the 4th rip of Silver Skins. Your monthly-ish exploration into music new and old for the mature listener who’s still a bit childish in places. This episode marks the end of festival season and a move into winter gigs so we’re going to have some tracks which recall the sunshine of Shambala and wet love of Bestival. We’ve got the standard boat floaters of new tracks and some winter chillers to top it all off.
<h3>Tracklisting</h3>
David Byrne &amp; Brian Eno – Strange Overtones
Friendly Fires – Paris
Vampire Weekend – A-Punk
The Hats – Red Pike
Mr Blend – Message To ODB
Fat Freddy’s Drop – The Camel
Little Palm – These Girls
Ben Folds – Free Coffee
Oasis – Falling Down (Chemical Brothers)
The Verve – Columbo
Real Tuesday Weld – One More Chance
The Essex Green – Rabbit
Ed Harcourt – Shadowboxing
Massive Attack – Hymn Of The Big Wheel",Silver Skins,
